ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,10,2024,Elec- Agricultural,Y,0,0,
93101,11,2024,Elec- Agricultural,Y,0,0,
93101,12,2024,Elec- Agricultural,Y,0,0,
93110,10,2024,Elec- Agricultural,Y,0,0,
93110,11,2024,Elec- Agricultural,Y,0,0,
93110,12,2024,Elec- Agricultural,Y,0,0,
93117,10,2024,Elec- Agricultural,Y,0,0,
93117,11,2024,Elec- Agricultural,Y,0,0,
93117,12,2024,Elec- Agricultural,Y,0,0,
93202,10,2024,Elec- Agricultural,Y,0,0,
93202,11,2024,Elec- Agricultural,Y,0,0,
93202,12,2024,Elec- Agricultural,Y,0,0,
93203,10,2024,Elec- Agricultural,Y,0,0,
93203,11,2024,Elec- Agricultural,Y,0,0,
93203,12,2024,Elec- Agricultural,Y,0,0,
93204,10,2024,Elec- Agricultural,Y,0,0,
93204,11,2024,Elec- Agricultural,Y,0,0,
93204,12,2024,Elec- Agricultural,Y,0,0,
93206,10,2024,Elec- Agricultural,N,122,"6,664,550","54,627"
93206,11,2024,Elec- Agricultural,Y,0,0,
93206,12,2024,Elec- Agricultural,Y,0,0,
93210,10,2024,Elec- Agricultural,Y,0,0,
93210,11,2024,Elec- Agricultural,Y,"1,128","22,701,562","20,125"
93210,12,2024,Elec- Agricultural,Y,0,0,
93212,10,2024,Elec- Agricultural,Y,295,"16,565,743","56,155"
93212,11,2024,Elec- Agricultural,Y,0,0,
93212,12,2024,Elec- Agricultural,Y,0,0,
93215,10,2024,Elec- Agricultural,Y,0,0,
93215,11,2024,Elec- Agricultural,Y,0,0,
93215,12,2024,Elec- Agricultural,Y,0,0,
93219,10,2024,Elec- Agricultural,Y,0,0,
93219,11,2024,Elec- Agricultural,Y,0,0,
93219,12,2024,Elec- Agricultural,Y,0,0,
93224,10,2024,Elec- Agricultural,Y,0,0,
93224,11,2024,Elec- Agricultural,Y,0,0,
93224,12,2024,Elec- Agricultural,Y,0,0,
93225,10,2024,Elec- Agricultural,Y,0,0,
93225,11,2024,Elec- Agricultural,Y,0,0,
93225,12,2024,Elec- Agricultural,Y,0,0,
93230,10,2024,Elec- Agricultural,Y,390,"11,686,908","29,966"
93230,11,2024,Elec- Agricultural,Y,675,"13,200,598","19,556"
93230,12,2024,Elec- Agricultural,Y,694,"12,305,665","17,732"
93234,10,2024,Elec- Agricultural,Y,0,0,
93234,11,2024,Elec- Agricultural,Y,0,0,
93234,12,2024,Elec- Agricultural,Y,0,0,
93239,10,2024,Elec- Agricultural,Y,0,0,
93239,11,2024,Elec- Agricultural,Y,0,0,
93239,12,2024,Elec- Agricultural,Y,0,0,
93241,10,2024,Elec- Agricultural,Y,0,0,
93241,11,2024,Elec- Agricultural,Y,0,0,
