ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93101,4,2024,Elec- Agricultural,Y,0,0,
93101,5,2024,Elec- Agricultural,Y,0,0,
93101,6,2024,Elec- Agricultural,Y,0,0,
93110,4,2024,Elec- Agricultural,Y,0,0,
93110,5,2024,Elec- Agricultural,Y,0,0,
93110,6,2024,Elec- Agricultural,Y,0,0,
93117,4,2024,Elec- Agricultural,Y,0,0,
93117,5,2024,Elec- Agricultural,Y,0,0,
93117,6,2024,Elec- Agricultural,Y,0,0,
93202,4,2024,Elec- Agricultural,Y,0,0,
93202,5,2024,Elec- Agricultural,Y,0,0,
93202,6,2024,Elec- Agricultural,Y,0,0,
93203,4,2024,Elec- Agricultural,Y,0,0,
93203,5,2024,Elec- Agricultural,Y,0,0,
93203,6,2024,Elec- Agricultural,Y,0,0,
93204,4,2024,Elec- Agricultural,Y,0,0,
93204,5,2024,Elec- Agricultural,Y,0,0,
93204,6,2024,Elec- Agricultural,Y,0,0,
93206,4,2024,Elec- Agricultural,N,120,"7,385,075","61,542"
93206,5,2024,Elec- Agricultural,Y,307,"27,460,747","89,449"
93206,6,2024,Elec- Agricultural,N,120,"12,413,628","103,447"
93210,4,2024,Elec- Agricultural,N,107,"3,612,672","33,763"
93210,5,2024,Elec- Agricultural,N,107,"6,941,341","64,872"
93210,6,2024,Elec- Agricultural,N,107,"8,705,209","81,357"
93212,4,2024,Elec- Agricultural,Y,284,"12,293,105","43,286"
93212,5,2024,Elec- Agricultural,Y,425,"21,009,691","49,435"
93212,6,2024,Elec- Agricultural,Y,309,"20,541,229","66,476"
93215,4,2024,Elec- Agricultural,Y,0,0,
93215,5,2024,Elec- Agricultural,Y,0,0,
93215,6,2024,Elec- Agricultural,Y,0,0,
93219,4,2024,Elec- Agricultural,Y,0,0,
93219,5,2024,Elec- Agricultural,Y,0,0,
93219,6,2024,Elec- Agricultural,Y,0,0,
93224,4,2024,Elec- Agricultural,Y,0,0,
93224,5,2024,Elec- Agricultural,Y,0,0,
93224,6,2024,Elec- Agricultural,Y,0,0,
93225,4,2024,Elec- Agricultural,Y,0,0,
93225,5,2024,Elec- Agricultural,Y,0,0,
93225,6,2024,Elec- Agricultural,Y,0,0,
93230,4,2024,Elec- Agricultural,Y,387,"8,606,522","22,239"
93230,5,2024,Elec- Agricultural,Y,392,"12,902,260","32,914"
93230,6,2024,Elec- Agricultural,Y,388,"12,610,050","32,500"
93234,4,2024,Elec- Agricultural,N,116,"3,586,388","30,917"
93234,5,2024,Elec- Agricultural,Y,0,0,
93234,6,2024,Elec- Agricultural,N,118,"7,736,806","65,566"
93239,4,2024,Elec- Agricultural,Y,0,0,
93239,5,2024,Elec- Agricultural,Y,0,0,
93239,6,2024,Elec- Agricultural,Y,0,0,
93241,4,2024,Elec- Agricultural,Y,0,0,
93241,5,2024,Elec- Agricultural,Y,0,0,
93241,6,2024,Elec- Agricultural,Y,0,0,
93242,4,2024,Elec- Agricultural,Y,0,0,
93242,5,2024,Elec- Agricultural,N,215,"3,428,675","15,947"
93242,6,2024,Elec- Agricultural,N,214,"3,724,171","17,403"
93243,4,2024,Elec- Agricultural,Y,0,0,
93243,5,2024,Elec- Agricultural,Y,0,0,
93243,6,2024,Elec- Agricultural,Y,0,0,
93245,4,2024,Elec- Agricultural,Y,497,"5,448,112","10,962"
93245,5,2024,Elec- Agricultural,N,451,"3,568,299","7,912"
93245,6,2024,Elec- Agricultural,N,454,"4,305,294","9,483"
93249,4,2024,Elec- Agricultural,Y,0,0,
93249,5,2024,Elec- Agricultural,Y,0,0,
93249,6,2024,Elec- Agricultural,Y,0,0,
93250,4,2024,Elec- Agricultural,Y,0,0,
93250,5,2024,Elec- Agricultural,Y,248,"9,057,711","36,523"
93250,6,2024,Elec- Agricultural,Y,248,"11,358,664","45,801"
93251,4,2024,Elec- Agricultural,Y,0,0,
93251,5,2024,Elec- Agricultural,Y,0,0,
93251,6,2024,Elec- Agricultural,Y,0,0,
93252,4,2024,Elec- Agricultural,Y,0,0,
93252,5,2024,Elec- Agricultural,Y,0,0,
93252,6,2024,Elec- Agricultural,Y,0,0,
93254,4,2024,Elec- Agricultural,Y,0,0,
93254,5,2024,Elec- Agricultural,Y,0,0,
93254,6,2024,Elec- Agricultural,Y,0,0,
93256,4,2024,Elec- Agricultural,Y,0,0,
93256,5,2024,Elec- Agricultural,Y,0,0,
93256,6,2024,Elec- Agricultural,Y,0,0,
93262,4,2024,Elec- Agricultural,Y,0,0,
93262,5,2024,Elec- Agricultural,Y,0,0,
93262,6,2024,Elec- Agricultural,Y,0,0,
93263,4,2024,Elec- Agricultural,Y,477,"16,499,150","34,589"
93263,5,2024,Elec- Agricultural,Y,0,0,
93263,6,2024,Elec- Agricultural,Y,0,0,
93266,4,2024,Elec- Agricultural,Y,0,0,
93266,5,2024,Elec- Agricultural,Y,0,0,
93266,6,2024,Elec- Agricultural,Y,0,0,
93268,4,2024,Elec- Agricultural,Y,0,0,
93268,5,2024,Elec- Agricultural,Y,0,0,
93268,6,2024,Elec- Agricultural,Y,0,0,
93272,4,2024,Elec- Agricultural,Y,0,0,
93272,5,2024,Elec- Agricultural,Y,0,0,
93272,6,2024,Elec- Agricultural,Y,0,0,
93274,4,2024,Elec- Agricultural,Y,0,0,
93274,5,2024,Elec- Agricultural,Y,58,"1,978,930","34,119"
93274,6,2024,Elec- Agricultural,Y,53,"2,022,867","38,167"
